회사명,종목코드,폐지일자,폐지사유,label
플러스프로핏,036660,2009-11-20,감사범위 제한에 따른 감사의견 거절,1
소예,035010,2009-11-03,최근 사업연도의 재무제표에 대한 감사인의 감사의견거절,1
아이드림,066850,2009-10-07,자본잠식률 50%이상으로 관리종목 지정 후 반기 재무제표에 대한 감사의견 거절,1
제네시스,052640,2009-10-07,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
에이엠에스,044770,2009-10-07,"자본전액잠식, 2반기 연속 자본잠식률 50%이상, 2반기 연속 자기자본 10억원 미만",1
카라반케이디이,032570,2009-09-18,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지,1
네오리소스,058550,2009-09-15,자본잠식률 50%이상 및 자기자본 10억원 미만으로 관리종목 지정 후 반기의 재무제표에 대한 감사의견 거절,1
써니트렌드,035500,2009-09-04,-2회연속 자본잠식률 50%이상  -2회연속 자기자본 10억원미만  -자본잠식률 50%이상 및 자기자본 10억원미만으로 관리종목 지정후 최근 반기 재무제표에 대한 외부감사인의 감사의견 의견거절,1
뉴젠비아이티,054650,2009-09-04,반기보고서 법정제출기한 익일부터 10일이내 반기검토(감사)보고서 미제출,1
블루멈,033880,2009-09-04,"- 2회연속 자본잠식률 50% 이상  - 2009.3.31 자본잠식률 50% 이상으로 관리종목 지정 후,  최근 반기의 재무제표에 대한 감사인의 감사의견 거절",1
MTRON,046320,2009-08-28,2회연속 자본잠식률 50%이상 및 자기자본 10억원 미만,1
케이알,035950,2009-08-21,감사범위제한으로 인한 감사의견거절 및 계속기업 불확실성으로 인한 감사의견거절 사유해소 확인서 미제출,1
케이엠에스,038830,2009-08-08,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
사이버패스,063280,2009-07-08,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
ST&I,031800,2009-07-01,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
