n_shareholder_change,n_capital_increase,n_cb,n_collateral,종목코드,회사명,label
0,0,0,0,290270,휴네시온,0
0,0,0,0,109670,씨싸이트,0
0,1,2,0,186230,그린플러스,0
0,0,0,0,036190,금화피에스시,0
0,5,0,0,147760,피엠티,0
0,0,0,0,267980,매일유업,0
0,0,0,0,900070,글로벌에스엠,0
0,0,0,0,126640,화신정공,0
0,0,0,0,081180,쎄크,0
0,0,12,0,032820,우리기술,0
0,0,1,0,435570,에르코스,0
0,0,0,0,003100,선광,0
0,0,0,0,224110,에이텍모빌리티,0
0,0,0,0,443670,에스피소프트,0
0,0,1,0,037230,한국팩키지,0
4,2,1,2,038880,아이에이,0
0,2,0,0,356860,티엘비,0
0,0,0,0,101330,모베이스,0
0,0,0,0,219420,링크제니시스,0
0,1,0,0,045390,대아티아이,0
5,1,6,3,261780,아리바이오LAB,0
0,0,0,0,064760,티씨케이,0
0,0,0,0,413390,엠오티,0
0,0,0,0,204610,티쓰리,0
0,0,0,0,108860,셀바스AI,0
3,9,8,0,354200,엔젠바이오,0
1,1,0,0,344860,이노진,0
0,0,0,0,149950,아바텍,0
1,0,1,0,019990,에너토크,0
0,0,0,0,066130,하츠,0
1,0,0,0,049070,인탑스,0
0,0,0,0,036640,HRS,0
0,0,0,0,038110,에코플라스틱,0
0,0,0,0,153490,우리이앤엘하루틴,0
1,4,6,1,043260,성호전자,0
0,0,3,0,064290,인텍플러스,0
0,0,0,0,241710,코스메카코리아,0
2,4,4,0,079970,투비소프트,0
0,0,1,0,418420,라온텍,0
0,5,5,0,050110,캠시스,0
0,1,2,0,260930,씨티케이,0
0,0,0,0,140520,대창스틸,0
0,0,9,0,222420,쎄노텍,0
0,2,0,0,287840,인투셀,0
2,0,0,0,036480,대성미생물,0
3,7,7,0,148250,알엔투테크놀로지,0
0,1,3,0,369370,블리츠웨이엔터테인먼트,0
0,0,4,0,357580,아모센스,0
0,1,0,0,131030,옵투스제약,0
0,0,0,0,382480,지아이텍,0
0,0,0,0,053450,세코닉스,0
0,0,0,0,047770,코데즈컴바인,0
2,3,8,0,313760,캐리,0
2,1,0,0,220180,핸디소프트,0
2,11,2,0,062970,한국첨단소재,0
0,3,3,0,226950,올릭스,0
0,0,0,0,263770,유에스티,0
0,0,0,0,020180,대신정보통신,0
